position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
11,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",WQBzJm-xDac,2025-03-21T13:34:00Z,"2025-03-21 13:34:00","Lupion defende corte de gastos e reforma administrativa para conter a inflação","O custo excessivo do Legislativo, Executivo e Judiciário é um problema para o país e precisa ser enfrentado, afirma o presidente da Frente Parlamentar da Agropecuária (FPA), Pedro Lupion, em entrevista à Jovem Pan News. Para ele, a melhor solução para conter a inflação é reduzir gastos públicos e avançar com a reforma administrativa, que deveria vir antes da reforma tributária.","Agro,Inflação,AGRO,fpa,FPA,Brasil,Cortedegastos,agropecuaria,Pedro Lupion,Corte de gastos,Inflação de alimentos,Governo Lula",25,"News & Politics","Politics,Society,Television_program",PT1M25S,85,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/WQBzJm-xDac/maxresdefault.jpg,,,,,25,2,,0,0
12,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",6r0xYIo3Lkk,2025-03-20T19:25:52Z,"2025-03-20 19:25:52","As tarifas americanas vão impactar o agro brasileiro? Entenda.","As novas tarifas de importação dos EUA preocupam o setor, mas também podem abrir oportunidades na disputa comercial com a China, segundo o presidente da Frente Parlamentar da Agropecuária (FPA), Pedro Lupion. 📺 Confira a análise na entrevista à CNBC!","#Agro,#Agronegócio,#AgroBrasil,Trump,Taxasamericanas,tarifasamericanas,USA,exporações,FPA,Pedrolupion",25,"News & Politics","Politics,Society,Television_program",PT1M25S,85,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/6r0xYIo3Lkk/maxresdefault.jpg,,,,,51,5,,0,0
13,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",MOK743wR5ms,2025-03-20T14:07:21Z,"2025-03-20 14:07:21","Queda do PIB em 2024 - Entenda os principais fatores","A queda do PIB agropecuário foi impactada por condições climáticas adversas, especialmente no Rio Grande do Sul, e pelo alto custo de produção, agravado pela valorização do dólar. O presidente da FPA, Pedro Lupion, analisou esses desafios e as perspectivas do setor.","#Agro,#Agronegócio,#AgroBrasil,#ProduçãoRural,#AgriculturaFamilia,FPA",25,"News & Politics","Politics,Society,Television_program",PT1M51S,111,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/MOK743wR5ms/maxresdefault.jpg,,,,,26,1,,0,0
14,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",5YICG3Xj5RQ,2025-03-19T14:27:53Z,"2025-03-19 14:27:53","Presidente da FPA desmente boatos sobre descarte de alimentos por produtores","Em entrevista à CNN, Pedro Lupion, presidente da FPA, negou que produtores estejam segurando estoques para elevar os preços e afirmou que não há falta de oferta, pois os alimentos estão no mercado. Ele destacou que os próprios produtores também sofrem com a inflação e criticou a exclusão do setor produtivo das discussões sobre a alta dos preços. Para ele, a redução de tributos sobre insumos agrícolas é essencial para garantir uma produção mais acessível no Brasil.","FPA,FPAGRO,PedroLupion,AgroBrasil,Agro,Produtorrural,inflaçaodealimentos,alimentos,inflaçao,congresso,deputado,agronegocio",25,"News & Politics","Politics,Society,Television_program",PT3M20S,200,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/5YICG3Xj5RQ/maxresdefault.jpg,,,,,214,7,,0,0
15,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",o9uItch9eZQ,2025-03-19T14:13:14Z,"2025-03-19 14:13:14","“Medidas para conter inflação são ineficientes a curto prazo” afirma Lupion","Pedro Lupion, presidente da Frente Parlamentar da Agropecuária, aponta a ineficácia das ações do governo para conter a inflação dos alimentos, em entrevista ao vivo à CNN. Ele defende que a verdadeira solução passa por um ajuste fiscal, com a redução dos gastos públicos. Deixe sua opinião nos comentários. O que você acha dessas medidas?","agro,agronegocio,FPA,Congresso,Inflaçãodealimentos,alimentos,Pedro Lupion,bancadaagro,#medidasinflação",25,"News & Politics","Politics,Society,Television_program",PT2M7S,127,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/o9uItch9eZQ/maxresdefault.jpg,,,,,14,1,,0,0
16,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",YBOnisas0LY,2025-03-18T18:47:06Z,"2025-03-18 18:47:06","ALERTA: 80 CASOS DE INVASÃO DE TERRAS NO SUL DA BAHIA E ESPÍRITO SANTO","O deputado Pedro Lupion, presidente da FPA, condenou a onda de invasões de terras que vem ocorrendo pelo Brasil, especialmente no sul da Bahia e no Espírito Santo. Para ele, trata-se de um grave problema de justiça, e a bancada atuará para buscar soluções de forma rápida e eficaz. Lupion também alertou para os desafios no escoamento da supersafra, destacando a necessidade de melhorias na infraestrutura e logística para evitar prejuízos ao setor produtivo.","agro,invasão,mst,pl490,marco temporal,invasão de terras,crime,brasil,fpa,agropecuaria,bahia,sul da bahia,sul do espirito santo,agronegocio",25,"News & Politics","Politics,Society",PT14M32S,872,2d,hd,false,,en-US,https://i.ytimg.com/vi/YBOnisas0LY/maxresdefault.jpg,,,,,403,16,,0,0
17,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",fTupgWMohJI,2025-03-12T20:18:13Z,"2025-03-12 20:18:13","SARDINHA BRASILEIRA EM RISCO: MILHARES DE EMPREGOS AMEAÇADOS","No programa Agro Mais, o deputado Pedro Lupion, presidente da FPA, criticou a isenção da taxa de importação da sardinha, alertando para a ameaça e enfraquecimento da produção nacional. Segundo Lupion, as mesmas empresas que vendem sardinha no Brasil são subsidiárias internacionais, o que significa que o produto importado tomará o mercado, sem mudança de preço para o consumidor. Créditos: Agro Mais.","agro,agronegocio,agropecuaria,fpa,frente parlamentar da agropecuaria,pesca,pescado,sardinha,plano safra,agro mais",25,"News & Politics","Politics,Society,Television_program",PT11M46S,706,2d,sd,false,,pt-BR,,,,,,1816,29,,0,2
18,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",s2_6KMrG7ug,2025-03-12T18:06:33Z,"2025-03-12 18:06:33","LEI DA RECIPROCIDADE E OS DESAFIOS DO COMÉRCIO INTERNACIONAL - PEDRO LUPION FALA NA CNBC","Em sua participação semanal no Times | CNBC, o deputado Pedro Lupion, presidente da FPA, explica a Lei da Reciprocidade, uma medida essencial para proteger as exportações brasileiras de barreiras comerciais abusivas. Além disso, ele alerta sobre a recente ameaça à cadeia produtiva pesqueira nacional com a possível isenção das tarifas de importação de sardinha.",,25,"News & Politics","Politics,Society",PT9M34S,574,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/s2_6KMrG7ug/maxresdefault.jpg,,,,,582,9,,0,0
19,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",-lKcBWqnzsw,2025-03-12T08:03:15Z,"2025-03-12 08:03:15","MEDIDAS DO GOVERNO PARA CONTER INFLAÇÃO DE ALIMENTOS SÃO INEFICAZES","Em coletiva de imprensa, o deputado Pedro Lupion, presidente da FPA, criticou as medidas do governo para reduzir o preço dos alimentos, afirmando que são ineficazes e não fortalecem a produção nacional. Ele também comentou sobre a recente visita do presidente Lula ao MST. Já a senadora Tereza Cristina, vice-presidente da FPA no Senado, reforçou as críticas e destacou a Lei da Reciprocidade, que protege as exportações brasileiras de barreiras comerciais abusivas.","preço alimentos,inflação,reciprocidade,camara dos deputados,senado federal,congresso nacional,politica,comida,alimentos,preço dolar,alta dolar",25,"News & Politics","Politics,Society",PT20M22S,1222,2d,hd,false,,en-US,https://i.ytimg.com/vi/-lKcBWqnzsw/maxresdefault.jpg,,,,,192,6,,0,0
20,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",wIvrz5_JlZc,2025-03-07T17:37:43Z,"2025-03-07 17:37:43","INFLAÇÃO DOS ALIMENTOS E MEDIDAS DO GOVERNO - LUPION COMENTA AO VIVO NA CNBC","No programa Times | CNBC, o presidente da FPA, dep. Pedro Lupion, criticou as medidas do governo para conter a inflação dos alimentos, afirmando que são ineficazes, não terão efeito imediato e enfraquecem o mercado interno. Segundo ele, o problema não é falta de oferta, mas o alto custo de produção e o desequilíbrio da máquina pública",,25,"News & Politics","Politics,Society,Television_program",PT9M3S,543,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/wIvrz5_JlZc/maxresdefault.jpg,,,,,1290,26,,0,0
21,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",dH5Z5WZrK5w,2025-03-07T14:51:40Z,"2025-03-07 14:51:40","MEDIDAS DO GOVERNO CONSEGUEM CONTER A INFLAÇÃO DOS ALIMENTOS? LUPION COMENTA AO VIVO NA JOVEM PAN","Ao vivo no programa Morning Show da Jovem Pan, o presidente da FPA, dep. Pedro Lupion, afirmou que as medidas do governo para conter a inflação dos alimentos são ineficientes. Segundo ele, as medidas não terão efeitos imediatos e favorecem a indústria internacional, ao invés de fortalecer o setor produtivo nacional.",,25,"News & Politics","Politics,Society,Television_program",PT13M43S,823,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/dH5Z5WZrK5w/maxresdefault.jpg,,,,,5507,180,,0,11
22,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",WsyQ1IJBGjU,2025-03-07T14:31:46Z,"2025-03-07 14:31:46","MEDIDAS DO GOVERNO PARA CONTER INFLAÇÃO DOS ALIMENTOS - PEDRO LUPION COMENTA AO VIVO NA CNN BRASIL","🎙️ Ao vivo na CNN Brasil, o dep. Pedro Lupion, presidente da FPA, analisou a medida do governo para conter a inflação dos alimentos. Segundo ele: ✂️ A solução passa por cortar gastos e recuperar a economia. 🚜 Não há falta de oferta – o problema não é produção nem armazenagem. 💰 Preços altos não significam mais lucro para os produtores. ⏳ As medidas anunciadas não terão efeito imediato. Confira!",,25,"News & Politics","Politics,Society",PT16M3S,963,2d,hd,false,,pt-BR,,,,,,31157,982,,0,219
23,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",ENas1QLnrCc,2025-02-25T17:54:58Z,"2025-02-25 17:54:58","FPA RECEBE MANIFESTO CONTRA SUSPENSÃO DO PLANO SAFRA","Na coletiva de imprensa desta terça-feira (25), a Frente Parlamentar da Agropecuária (FPA) alertou sobre os impactos da suspensão do Plano Safra. Parlamentares expressaram preocupação com a interrupção dos financiamentos essenciais para o setor, o que levou o Governo a recuar na medida. Segundo o deputado Pedro Lupion, presidente da bancada, essa é uma vitória de todo o setor produtivo.","AGRO,PLANO SAFRA,FRENTE PARLAMENTAR DA AGROPECUARIA,POLITICA,FPA,GOVERNO FEDERAL,AGRICULTURA,AGRONEGOCIO",25,"News & Politics","Politics,Society",PT10M43S,643,2d,hd,false,,en-US,https://i.ytimg.com/vi/ENas1QLnrCc/maxresdefault.jpg,,,,,190,7,,0,1
24,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",QzTKSm2pJ8w,2025-02-21T17:11:04Z,"2025-02-21 17:11:04","ARNALDO JARDIM FALA SOBRE O CANCELAMENTO DAS LINHAS DE CRÉDITO DO PLANO SAFRA 24/25","🎙️ O deputado Arnaldo Jardim, vice-presidente da FPA na Câmara, participou do programa Times | CNBC para discutir o cancelamento das linhas de crédito rural do Plano Safra 2024/2025. Ele criticou a incoerência do Governo ao alegar preocupação com a inflação dos alimentos enquanto corta incentivos à produção.","fpa,frente parlamentar da agropecuaria,congresso nacional,arnaldo jardim,plano safra,cancelamento plano safra",25,"News & Politics","Politics,Society",PT7M10S,430,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/QzTKSm2pJ8w/maxresdefault.jpg,,,,,1111,12,,0,2
25,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",P3BluCNlGq8,2025-02-21T16:39:12Z,"2025-02-21 16:39:12","PRESIDENTE DA FPA FALA SOBRE A SUSPENSÃO DO PLANO SAFRA 24/25","🎙️ O deputado Pedro Lupion, presidente da FPA, afirmou à CNN Brasil que a suspensão do Plano Safra 24/25 prejudica o agronegócio e a população, elevando custos e o preço dos alimentos. Ele criticou a justificativa do governo federal sobre a aprovação do orçamento no Congresso e atribuiu à falta de articulação e ao excesso de gasto público a suspensão do crédito. Lupion também negou risco de desabastecimento e ressaltou que os produtores não lucram com a alta dos alimentos exatamente pelo aumento no custo de produção também.","frente parlamentar da agropecuaria,fpa,congresso nacional,pedro lupion,plano safra,cancelamento plano safra,plano safra 24/25,credito rural,bancada ruralista,agro",25,"News & Politics","Politics,Society",PT13M41S,821,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/P3BluCNlGq8/maxresdefault.jpg,,,,,3442,51,,0,3
26,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",-xr_RdI1bKk,2025-02-20T14:59:37Z,"2025-02-20 14:59:37","PRESIDENTE DA FPA FALA SOBRE AS PRIORIDADES DO AGRO - DE COP 30 A INFLAÇÃO DE ALIMENTOS",,"FPA,Frente parlamentar da agropecuaria,congresso nacional,inflação de alimentos,bancada ruralista",25,"News & Politics","Politics,Society",PT8M11S,491,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/-xr_RdI1bKk/maxresdefault.jpg,,,,,160,4,,0,0
27,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",ydmc-7gTo9U,2025-02-19T07:09:22Z,"2025-02-19 07:09:22","🎥⭕ TRANSMISSÃO COLETIVA DE IMPRENSA | BANCADA DISCUTE MARCO TEMPORAL E IMPACTOS DA ESTIAGEM NO RS","Parlamentares da FPA se reuniram nesta terça-feira (18/02) para debater dois temas cruciais para o setor agropecuário: a defesa do Marco Temporal e os impactos da estiagem no Rio Grande do Sul. Durante a coletiva, o presidente da FPA, deputado Pedro Lupion, acompanhado dos deputados Silvia Waiãpi e Afonso Hamm, destacou a importância dessas pautas e as medidas necessárias para garantir segurança jurídica e apoio aos produtores afetados.",,25,"News & Politics","Politics,Society",PT23M8S,1388,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/ydmc-7gTo9U/maxresdefault.jpg,,,,,172,3,,0,0
28,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",GtTU6dx9jCg,2025-02-18T19:07:58Z,"2025-02-18 19:07:58","🎥⭕ TRANSMISSÃO COLETIVA DE IMPRENSA | BANCADA DISCUTE MARCO TEMPORAL E IMPACTOS DA ESTIAGEM NO RS","Parlamentares da FPA se reuniram nesta terça-feira (18/02) para debater dois temas cruciais para o setor agropecuário: a defesa do Marco Temporal e os impactos da estiagem no Rio Grande do Sul. Durante a coletiva, o presidente da FPA, deputado Pedro Lupion, acompanhado dos deputados Silvia Waiãpi e Afonso Hamm, destacou a importância dessas pautas e as medidas necessárias para garantir segurança jurídica e apoio aos produtores afetados.",,25,"News & Politics","Politics,Society",P0D,0,2d,sd,false,,pt-BR,https://i.ytimg.com/vi/GtTU6dx9jCg/maxresdefault_live.jpg,,,,,0,0,,0,0
29,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",ZAPkRtBSf8U,2025-02-17T15:35:13Z,"2025-02-17 15:35:13","PRESIDENTE DA FPA FALA SOBRE O MARCO TEMPORAL NA MESA DE CONCILIAÇÃO DO STF","O deputado Pedro Lupion, presidente da FPA, ressalta a ausência do Marco Temporal no texto de conciliação apresentado no STF. Ele destaca que o acordo coloca em xeque a segurança jurídica para proprietários rurais e fragiliza a negociação sem a inclusão de uma data limite. Lupion citou os conflitos por disputas de terras que ocorrem nos municípios Guaíra e Terra Roxa (PR), justamente pela falta de definição legal, levando violência para o campo.","marco temporal,stf,fpa,frente parlamentar da agropecuaria",25,"News & Politics","Politics,Society",PT7M,420,2d,sd,false,,pt-BR,https://i.ytimg.com/vi/ZAPkRtBSf8U/maxresdefault.jpg,,,,,1866,41,,0,7
